,Id,Title,Text,OriginalText,CreationDate
0,59430106,implement federate algorithm Usinsg tensorflow federate,"implement federate algorithm Usinsg tensorflow federate   I read document tensorflow federate available tensorflow.org , sure implement federate algorithm . example , compile keras model , know convert tff.computation . seem order build federate algorithm one build iterative_process . anyone help regard ?     thank much ,","How to implement my own federated algorithm Usinsg tensorflow federated  I have read all the documents on the tensorflow federated available at tensorflow.org, but I am not sure how to implement my own federated algorithm. For example, I have a compiled keras model, I know how to convert this to tff.computation. It seems that in order to build a federated algorithm one should build an iterative_process. Can anyone help me in this regard?  
 Thank you so much,  
",43819.78742
1,59481435,valueerror : name Sequential use 4 time model . layer name unique ?,"valueerror : name Sequential use 4 time model . layer name unique ?   let consider , four model follow M1 ( client 1 ) , M2 ( client 2 ) , M3 ( client 3 ) , M4 ( client 4 ) . model similar structure .       after train client model . aggregate model together create new model let say EnsModel . that , use ensemble model retrain new datum client again . however , try ensemble update model again , face problem say ValueError : name Sequential use 4 time model . layer name unique ?    can anybody help out ? also one question . way model modify ensemble model structure client ?    thank you .","ValueError: The name Sequential is used 4 times in the model. All the layer names should be unique?  Lets consider, I have four models following as M1 (client 1), M2 (client 2), M3 (client 3), and M4 (client 4). Each model has a similar structure.  
 
 After training for each client model. I have aggregated these models together and create a new model which is lets say EnsModel. After that, I have used this ensemble model to retrain new data for each client again. However, when I tried to ensemble the updated models again, I faced this problem that says
ValueError: The name Sequential is used 4 times in the model. All the layer names should be unique? 
 Can anybody help me out? I also have one question. Is there any way that I can model modify the ensemble model structure for each client? 
 Thank you. 
",43824.82839
2,59484278,"pureframeworktensorfounderror , Runtime error -FedeartedLearning","pureframeworktensorfounderror , Runtime error -FedeartedLearning   I try Linear Regression algorithm Federated learning use pytorch face follow error . implement Colab . accord error might due code line train ( ) function . kindly help work Pysyft face error before .       and follow code :  ","PureFrameworkTensorFoundError, Runtime error -FedeartedLearning  I am trying a Linear Regression algorithm with Federated learning using Pytorch and I face the following error. I am implementing it on Colab. According to me this error might be due to some code line in the train() function. Kindly help is you have worked with Pysyft and have faced such error before.  
 
 And the following is the code: 
 
",43825.23825
3,59622300,resnet model Tensorflow Federated,"resnet model Tensorflow Federated   I try customize model Image classification tutorial Tensorflow Federated . ( it originally use sequential model ) use Keras ResNet50 begin train , always error incompatible shape    here code :      error information :     I feel shape incompatible epoch client information somehow miss . would thankful someone could give hint .    update :    the Assertion error happen   ","ResNet model in Tensorflow Federated  I tried to customize the model in Image classification tutorial in Tensorflow Federated. (It originally used a sequential model)
I use Keras ResNet50 but when it began to train, there is always an error Incompatible shapes 
 Here are my codes: 
 
 Error information:
 
 I feel that the shape is incompatible because the epoch and clients information were somehow missing. Would be very thankful if someone could give me a hint. 
 Updates: 
 The Assertion error happened during  
 
",43837.19944
4,59741397,Federated learning : convert image dataset tff simulation Clientdata,"Federated learning : convert image dataset tff simulation Clientdata   here code federate learn test      now want create sample_batch like tutorial tensorflow federtaed image classification    I write line find error      the error      TypeError Traceback ( most recent call last ) 1 training_set1.element_type_structure ---- > 2 example_dataset = training_set1.create_tf_dataset_for_client(training_set1.client_ids[0 ] )    TypeError : abstractproperty object support indexing      can tell must create dummy_batch order convert keras model tff.learning.from_compiled_keras_model(model , dummy_batch )","Federated learning : convert my own image dataset into tff simulation Clientdata  here is the code of my federated learning test 
 
 Now when I want to create sample_batch like the tutorial in the tensorflow federtaed for image classification 
 I write this line and it find this error 
 
 the error 
 
 TypeError                                 Traceback (most recent call last)
 in 
      1 training_set1.element_type_structure
----> 2 example_dataset = training_set1.create_tf_dataset_for_client(training_set1.client_ids[0]) 
 TypeError: abstractproperty object does not support indexing 
 
 Can you tell me how I must do to create dummy_batch in order to convert keras model into tff.learning.from_compiled_keras_model(model, dummy_batch) 
",43844.85674
5,59835749,implement data generator federate training,"implement data generator federate training   ( I post question   maybe also here ! )    I customize datum model federate interface training converge . confused issue image classification task , whole dataset extreme large can not store single    import memory one time . need load dataset hard disk batch memory real - timely use    instead    training , approach people use deal large datum .    I suppose    show image classification tutorial , model fit fix set datum . way adjust code let fit datum generator?I look source code still quite confused . would incredibly grateful hint .","Implement data generator in federated training  (I have posted the question on  and maybe also here!) 
 I have customized my own data and model to federated interfaces and the training converged. But I am confused about an issue that in an images classification task, the whole dataset is extreme large and it cant be stored in a single   nor be imported to memory for one time. So I need to load the dataset from the hard disk in batches to memory real-timely and use   instead of   during training, the approach people use to deal with large data. 
 I suppose in   shown in image classification tutorial, the model is fitted on a fixed set of data. Is there any way to adjust the code to let it fit to a data generator?I have looked into the source codes but still quite confused. Would be incredibly grateful for any hints. 
",43851.29477
6,60198252,low evaluation accuracy Resnet TensorFlow Federated,"low evaluation accuracy Resnet TensorFlow Federated   I implement Resnet34 model federate image classification tutorial . 10 round training accuracy high 90 % , however , evaluation accuracy use last round    always around 50 % .      I confuse what s possibly wrong evaluation part ? also , print untrainable variable ( mean variance BatchNorm ) server model , 0 1 update / average round . like could problem ? thank much !     update :      the code prepare training datum print result :      the training evaluation code :      the training evaluation result round :  ","Low evaluation accuracy of Resnet in TensorFlow Federated  I implemented Resnet34 model in federated images classification tutorial. After 10 rounds the training accuracy can be higher than 90%, however, the evaluation accuracy using the last rounds   is always around 50%. 
 
 I am very confused whats possibly wrong with the evaluation part? Also, I printed the untrainable variables (mean and variance in BatchNorm) of the servers model, which are 0 and 1 with no updates/averaging after those rounds. Should they be like that or that could be the problem?
Thanks very much!  
 Updates:   
 The codes to prepare training data and printed results: 
 
 The training and evaluation codes: 
 
 The training and evaluations results after each round: 
 
",43873.96762
7,60202610,"Pysyft Federated learning , error websocket","Pysyft Federated learning , Error Websockets   I try run federate learn pysyft ( ) create remote worker connect via websocket . however get error folllowe evaluation step .      there clear answer forum . anyone clue issue script .    my syft version :  ","Pysyft Federated learning, Error with Websockets  I am trying to run a federated learning from pysyft () that creates remote workers and connect to them via websockets. however I am getting an error in folllowing evaluation step. 
 
 There are no clear answer from their forum. does anyone have any clue as to what the issue is in this script. 
 My syft version: 
 
",43874.31501
8,68691256,attributeerror : module tensorflow_privacy attribute dpquery,"attributeerror : module tensorflow_privacy attribute DPQuery   I new machine learn try "" federate learn image classification "" code Tensorflow ( ) . run code Google Colab modify anything .      the work well . ( no error ) come below :      I get error    line :      I ve search solution like    none work .    please help . thank advance !","AttributeError: module tensorflow_privacy has no attribute DPQuery  I am new to machine learning and was trying out the ""federated learning for image classification"" code by Tensorflow (). I ran the code on Google Colab and did not modify anything. 
 
 The above works well. (no errors)
But when it comes to the below: 
 
 I got an error on the   line: 
 
 Ive searched for solutions like   but none works. 
 Please help.
Thanks in advance! 
",44415.41198
9,69385064,good way create custom federate image dataset TFF sqlite format ?,"good way create custom federate image dataset tff sqlite format ?   I go source cifar-100 inbuilt dataset decide create compatible version FairFace dataset order able leverage build - in function without many modification everywhere convert FairFace structure similar cifar-100 .    I search around unable find cifar-100 sqlite database create - specifically image convert BLOB storage . bit trial error , try way :      execute sample train datum similarly test datum . able load use decode method :      what notice , however , final sqlite.lzma compress archive 6.4 GB size whereas source archive dataset 555 MB . guess due way store image , compression work well could stored compatible manner . see cifar-100 code image load directly fixedlenfeature shape ( 32,32,3 ) mean store unable find way store image such . method work bytes_feature route .    what would well / recommend way go this ?","What is the best way to create a custom federated image dataset for TFF in SQLite format?  I went through the source for the CIFAR-100 inbuilt dataset and decided to create a compatible version for the FairFace dataset in order to be able to leverage the other built-in functions without many modifications everywhere once I convert FairFace into a structure very similar to CIFAR-100. 
 I did search around but was unable to find how the CIFAR-100 SQLite database was created - specifically how the images were converted into BLOB for storage. After a bit of trial and error, I tried doing it this way: 
 
 Executing this for each sample in the train data and similarly for test data. I am able to load it using this decoding method: 
 
 What I noticed, however, is that the final sqlite.lzma compressed archive is 6.4 GB in size whereas the source archive for the dataset was 555 MB. I am guessing that due to the way I am storing the images, compression is not working as well as it could if they were stored in a more compatible manner. I see from the CIFAR-100 code that the images are loaded directly as FixedLenFeatures of shape (32,32,3) which means that they were stored as such but I have been unable to find a way to store my images as such. The only method that worked for me was the bytes_feature route. 
 What would be the best/recommended way to go about this? 
",44469.06617
